real pred err   user   film
 3.0 3.7 0.7 279.0 1184.0
 1.0 3.0 2.0 3489.0 2702.0
 1.0 3.3 2.3 4414.0 785.0
 4.0 3.4 0.6 2207.0 3555.0
 4.0 3.4 0.6 3438.0 2572.0
 3.0 3.9 0.9 3546.0 475.0
 5.0 3.3 1.7 2777.0 252.0
 2.0 2.9 0.9 4508.0 3937.0
 3.0 3.1 0.1 3792.0 434.0
 5.0 4.5 0.5 4277.0 1193.0
 3.0 3.3 0.3 2402.0 2046.0
 4.0 2.6 1.4 5694.0 2147.0
 5.0 4.2 0.8 307.0 965.0
 3.0 3.0 0.0 3961.0 2699.0
 2.0 3.2 1.2 1647.0 2111.0
 3.0 2.4 0.6 1264.0 542.0
 3.0 3.6 0.6 5084.0 21.0
 2.0 4.3 2.3 2094.0 2571.0
 5.0 4.0 1.0 5911.0 32.0
 1.0 2.1 1.1 2935.0 2450.0
 3.0 3.9 0.9 5916.0 1068.0
 3.0 3.6 0.6 5249.0 368.0
 3.0 4.1 1.1 5318.0 457.0
 1.0 2.3 1.3 1721.0 429.0
 4.0 3.4 0.6 3539.0 663.0
 2.0 4.0 2.0 3308.0 150.0
 5.0 4.6 0.4 4324.0 50.0
 4.0 3.6 0.4 3477.0 597.0
 4.0 3.2 0.8 3841.0 3308.0
 5.0 4.4 0.6 2097.0 2028.0
 5.0 3.4 1.6 669.0 3608.0
 4.0 3.9 0.1 5695.0 1097.0
 2.0 3.3 1.3 3683.0 2770.0
 2.0 3.7 1.7 122.0 480.0
 4.0 3.7 0.3 3132.0 3624.0
 5.0 3.1 1.9 1173.0 3528.0
 2.0 2.1 0.1 3955.0 2965.0
 5.0 3.0 2.0 4602.0 2369.0
 3.0 2.9 0.1 4138.0 3257.0
 1.0 3.6 2.6 293.0 3527.0
 4.0 4.1 0.1 3442.0 1387.0
 3.0 3.5 0.5 1125.0 780.0
 3.0 3.9 0.9 5220.0 2391.0
 5.0 3.6 1.4 4794.0 2087.0
 3.0 3.5 0.5 48.0 1380.0
 2.0 1.8 0.2 1587.0 1760.0
 4.0 3.8 0.2 3678.0 480.0
 4.0 3.3 0.7 4018.0 2393.0
 4.0 3.4 0.6 5244.0 3082.0
 5.0 4.1 0.9 3912.0 1222.0
 1.0 2.9 1.9 3507.0 1377.0
 4.0 4.0 0.0 549.0 529.0
 4.0 4.1 0.1 2449.0 589.0
 2.0 3.9 1.9 6031.0 1394.0
 3.0 3.3 0.3 496.0 2060.0
 2.0 3.3 1.3 5450.0 2100.0
 2.0 3.8 1.8 3998.0 3727.0
 5.0 4.1 0.9 4601.0 3421.0
 4.0 3.8 0.2 2304.0 1580.0
 4.0 3.5 0.5 3646.0 610.0
 3.0 3.6 0.6 1689.0 1967.0
 5.0 4.2 0.8 3025.0 1066.0
 4.0 4.2 0.2 1109.0 919.0
 4.0 3.8 0.2 2595.0 2353.0
 1.0 2.7 1.7 5302.0 2279.0
 3.0 3.1 0.1 2098.0 422.0
 3.0 3.7 0.7 4240.0 2349.0
 4.0 4.0 0.0 4386.0 2951.0
 5.0 4.0 1.0 3680.0 1097.0
 3.0 2.6 0.4 996.0 3879.0
 4.0 3.7 0.3 4773.0 1653.0
 3.0 3.7 0.7 3201.0 25.0
 4.0 3.9 0.1 6000.0 553.0
 4.0 2.9 1.1 1764.0 204.0
 4.0 4.0 0.0 631.0 2176.0
 5.0 3.9 1.1 4048.0 62.0
 2.0 2.6 0.6 1496.0 3688.0
 4.0 3.0 1.0 5580.0 2190.0
 3.0 2.3 0.7 937.0 2473.0
 1.0 3.3 2.3 1340.0 3755.0
 1.0 2.7 1.7 1141.0 2616.0
 4.0 4.0 0.0 5578.0 3160.0
 2.0 2.1 0.1 808.0 1336.0
 3.0 3.6 0.6 1930.0 2144.0
 3.0 4.0 1.0 3885.0 1210.0
 4.0 3.4 0.6 5545.0 3740.0
 3.0 3.3 0.3 1383.0 2145.0
 4.0 3.4 0.6 4840.0 2490.0
 5.0 4.3 0.7 4771.0 110.0
 5.0 3.9 1.1 1645.0 2359.0
 4.0 3.6 0.4 5654.0 180.0
 5.0 4.5 0.5 2185.0 1193.0
 4.0 3.7 0.3 5527.0 480.0
 4.0 4.1 0.1 2220.0 457.0
 4.0 3.0 1.0 5717.0 1379.0
 4.0 3.4 0.6 4867.0 242.0
 4.0 3.5 0.5 2599.0 3740.0
 3.0 3.4 0.4 3621.0 1589.0
 4.0 3.4 0.6 1996.0 1587.0
 1.0 3.7 2.7 5645.0 1678.0
 4.0 3.8 0.2 4425.0 357.0
 4.0 3.5 0.5 2568.0 2174.0
 5.0 4.0 1.0 4384.0 1079.0
 4.0 4.3 0.3 1264.0 1225.0
 4.0 3.6 0.4 241.0 1112.0
 1.0 2.7 1.7 4591.0 1460.0
 3.0 3.6 0.6 3124.0 2291.0
 4.0 4.3 0.3 2926.0 608.0
 3.0 3.9 0.9 3944.0 2716.0
 3.0 3.4 0.4 1941.0 144.0
 4.0 4.2 0.2 5289.0 2904.0
 4.0 3.2 0.8 3465.0 2089.0
 3.0 4.4 1.4 4984.0 1267.0
 2.0 2.5 0.5 2946.0 172.0
 1.0 2.8 1.8 3389.0 2322.0
 5.0 3.7 1.3 5780.0 431.0
 4.0 2.5 1.5 3272.0 1515.0
 5.0 3.9 1.1 2240.0 3471.0
 5.0 4.0 1.0 5734.0 265.0
 5.0 3.8 1.2 1359.0 3753.0
 5.0 4.3 0.7 5494.0 1304.0
 4.0 4.1 0.1 1749.0 1571.0
 2.0 3.7 1.7 2847.0 2081.0
 4.0 3.0 1.0 2245.0 3743.0
 3.0 2.7 0.3 2456.0 761.0
 4.0 4.2 0.2 3376.0 1210.0
 4.0 3.7 0.3 36.0 524.0
 3.0 3.2 0.2 5026.0 3704.0
 4.0 4.2 0.2 5161.0 1200.0
 5.0 3.9 1.1 181.0 2890.0
 4.0 3.9 0.1 1701.0 2579.0
 3.0 2.4 0.6 1246.0 3821.0
 2.0 3.4 1.4 22.0 3896.0
 5.0 3.9 1.1 2504.0 34.0
 4.0 4.1 0.1 2738.0 150.0
 3.0 3.8 0.8 4725.0 440.0
 5.0 4.1 0.9 4802.0 3421.0
 3.0 3.9 0.9 6036.0 921.0
 4.0 3.4 0.6 2941.0 2628.0
 5.0 4.3 0.7 1481.0 1.0
 3.0 3.9 0.9 2815.0 590.0
 5.0 3.9 1.1 1561.0 3357.0
 2.0 4.0 2.0 4276.0 1230.0
 3.0 3.4 0.4 2338.0 3770.0
 5.0 3.6 1.4 3635.0 3532.0
 5.0 4.2 0.8 673.0 110.0
 3.0 2.6 0.4 4788.0 3388.0
 5.0 4.0 1.0 970.0 2000.0
 5.0 4.1 0.9 1457.0 994.0
 3.0 3.2 0.2 721.0 2676.0
 2.0 3.5 1.5 1514.0 780.0
 5.0 3.8 1.2 5167.0 1653.0
 1.0 3.6 2.6 1179.0 3527.0
 4.0 3.8 0.2 4494.0 480.0
 3.0 2.2 0.8 1354.0 2296.0
 4.0 4.0 0.0 2880.0 2289.0
 3.0 3.9 0.9 1538.0 1124.0
 4.0 3.6 0.4 1369.0 2353.0
 4.0 3.7 0.3 2016.0 2529.0
 3.0 4.1 1.1 2121.0 2935.0
 2.0 3.1 1.1 1807.0 2747.0
 2.0 2.9 0.9 1112.0 382.0
 3.0 3.4 0.4 4245.0 2455.0
 4.0 4.0 0.0 5201.0 2791.0
 1.0 3.2 2.2 2945.0 1552.0
 3.0 3.6 0.6 1837.0 592.0
 3.0 3.4 0.4 4662.0 2424.0
 5.0 4.3 0.7 5031.0 1172.0
 1.0 2.6 1.6 5915.0 2616.0
 3.0 3.5 0.5 3476.0 500.0
 3.0 3.8 0.8 4793.0 1094.0
 3.0 4.0 1.0 981.0 3396.0
 3.0 4.1 1.1 5000.0 924.0
 5.0 4.5 0.5 2105.0 1198.0
 3.0 3.2 0.2 3082.0 450.0
 3.0 3.9 0.9 1291.0 1216.0
 1.0 2.2 1.2 3961.0 2642.0
 4.0 3.5 0.5 660.0 2058.0
 2.0 3.1 1.1 2402.0 3127.0
 4.0 4.6 0.6 411.0 318.0
 5.0 4.4 0.6 5878.0 1131.0
 3.0 2.9 0.1 692.0 1603.0
 4.0 4.1 0.1 3729.0 2944.0
 3.0 3.0 0.0 1579.0 2699.0
 4.0 3.2 0.8 4706.0 3036.0
 4.0 3.5 0.5 5033.0 1088.0
 3.0 2.9 0.1 1354.0 2978.0
 5.0 4.5 0.5 5667.0 1212.0
 4.0 3.7 0.3 1664.0 2321.0
 5.0 4.6 0.4 1483.0 745.0
 3.0 3.0 0.0 2907.0 2485.0
 5.0 4.1 0.9 1680.0 1292.0
 5.0 4.2 0.8 1197.0 1617.0
 4.0 3.1 0.9 5845.0 24.0
 2.0 3.2 1.2 4167.0 3033.0
 4.0 3.8 0.2 5124.0 1594.0
 5.0 3.9 1.1 1211.0 1964.0
 5.0 3.5 1.5 518.0 1014.0
 5.0 3.4 1.6 4086.0 708.0
 5.0 4.1 0.9 1635.0 3421.0
 2.0 3.0 1.0 3976.0 1854.0
 5.0 4.4 0.6 5882.0 1196.0
 4.0 4.1 0.1 2281.0 3363.0
 5.0 4.2 0.8 4484.0 3000.0
 4.0 4.0 0.0 4484.0 1394.0
 2.0 2.5 0.5 1128.0 2041.0
 3.0 3.9 0.9 1609.0 595.0
 1.0 3.5 2.5 1941.0 1777.0
 4.0 4.3 0.3 2753.0 910.0
 5.0 4.2 0.8 3722.0 1258.0
 3.0 3.5 0.5 1420.0 104.0
 3.0 2.7 0.3 3848.0 3146.0
 3.0 4.2 1.2 5079.0 1293.0
 4.0 3.9 0.1 1426.0 2398.0
 3.0 3.7 0.7 1780.0 1580.0
 4.0 3.4 0.6 2344.0 2683.0
 3.0 4.5 1.5 4451.0 1198.0
 3.0 4.1 1.1 5157.0 1196.0
 5.0 4.0 1.0 285.0 1185.0
 3.0 2.8 0.2 5831.0 3395.0
 2.0 4.2 2.2 3762.0 1089.0
 3.0 4.3 1.3 1098.0 2028.0
 5.0 3.3 1.7 4745.0 2657.0
 4.0 3.4 0.6 3892.0 224.0
 2.0 2.9 0.9 1587.0 3.0
 5.0 4.2 0.8 981.0 1222.0
 3.0 1.9 1.1 1029.0 1381.0
 3.0 3.5 0.5 3967.0 2423.0
 3.0 2.6 0.4 1015.0 2126.0
 4.0 4.0 0.0 1207.0 3360.0
 5.0 3.7 1.3 3704.0 3448.0
 2.0 2.7 0.7 548.0 2121.0
 4.0 3.7 0.3 2344.0 2987.0
 4.0 4.6 0.6 3822.0 50.0
 3.0 3.1 0.1 1579.0 1552.0
 2.0 3.0 1.0 2962.0 100.0
 1.0 3.1 2.1 647.0 344.0
 2.0 3.1 1.1 2472.0 3917.0
 5.0 3.5 1.5 4098.0 1129.0
 1.0 3.6 2.6 1051.0 1699.0
 2.0 3.0 1.0 4821.0 237.0
 2.0 3.5 1.5 1059.0 597.0
 5.0 2.9 2.1 3308.0 830.0
 4.0 3.8 0.2 4210.0 1748.0
 4.0 4.1 0.1 427.0 1278.0
 5.0 4.1 0.9 505.0 2788.0
 5.0 3.7 1.3 5359.0 2690.0
 3.0 3.6 0.6 3272.0 280.0
 4.0 3.4 0.6 1294.0 2371.0
 2.0 3.7 1.7 2173.0 1321.0
 3.0 3.7 0.7 5571.0 1176.0
 5.0 4.2 0.8 1213.0 1252.0
 3.0 3.6 0.6 5955.0 21.0
 5.0 4.0 1.0 4250.0 2947.0
 4.0 4.0 0.0 1297.0 1243.0
 1.0 2.4 1.4 800.0 427.0
 3.0 3.5 0.5 4732.0 454.0
 5.0 3.3 1.7 5812.0 1088.0
 1.0 2.6 1.6 6035.0 2387.0
 4.0 4.0 0.0 3052.0 1274.0
 5.0 4.3 0.7 3823.0 1267.0
 4.0 3.3 0.7 3651.0 2600.0
 5.0 3.9 1.1 1344.0 1394.0
 4.0 3.4 0.6 1861.0 1619.0
 3.0 3.6 0.6 3308.0 1660.0
 4.0 3.7 0.3 532.0 1653.0
 5.0 4.1 0.9 4304.0 296.0
 3.0 3.4 0.4 2489.0 2193.0
 4.0 3.7 0.3 6002.0 1396.0
 5.0 4.0 1.0 2523.0 778.0
 3.0 3.0 0.0 5172.0 1582.0
 3.0 3.7 0.7 4639.0 3101.0
 3.0 3.3 0.3 2084.0 2712.0
 5.0 4.1 0.9 2752.0 2020.0
 4.0 3.8 0.2 1219.0 2018.0
 3.0 3.5 0.5 1418.0 10.0
 4.0 4.0 0.0 2031.0 2791.0
 5.0 4.1 0.9 5823.0 1.0
 5.0 4.1 0.9 628.0 2997.0
 3.0 3.5 0.5 1694.0 2278.0
 4.0 4.4 0.4 5293.0 2028.0
 3.0 3.9 0.9 3300.0 590.0
 4.0 4.4 0.4 729.0 1193.0
 1.0 2.3 1.3 3808.0 3442.0
 2.0 3.3 1.3 566.0 1205.0
 4.0 3.6 0.4 1915.0 2291.0
 5.0 4.5 0.5 101.0 260.0
 4.0 4.3 0.3 3724.0 1272.0
 4.0 4.1 0.1 987.0 919.0
 5.0 4.6 0.4 418.0 318.0
 3.0 3.6 0.6 2909.0 3072.0
 4.0 3.4 0.6 4543.0 2155.0
 2.0 3.4 1.4 4169.0 3529.0
 3.0 3.1 0.1 5310.0 2605.0
 4.0 3.6 0.4 1837.0 2640.0
 5.0 4.2 0.8 1584.0 3949.0
 4.0 3.8 0.2 4694.0 3175.0
 3.0 4.1 1.1 3003.0 1387.0
 4.0 3.3 0.7 5099.0 2770.0
 5.0 4.3 0.7 1556.0 1234.0
 3.0 4.1 1.1 2627.0 2917.0
 4.0 4.1 0.1 6040.0 1080.0
 3.0 3.9 0.9 1701.0 538.0
 5.0 3.3 1.7 3853.0 1805.0
 4.0 4.0 0.0 891.0 595.0
 4.0 2.0 2.0 2162.0 564.0
 5.0 3.2 1.8 1680.0 2475.0
 4.0 3.8 0.2 5782.0 151.0
 4.0 4.1 0.1 3539.0 2936.0
 3.0 2.5 0.5 2097.0 809.0
 3.0 3.1 0.1 4975.0 3704.0
 5.0 4.6 0.4 6016.0 858.0
 5.0 4.1 0.9 4016.0 1090.0
 2.0 3.4 1.4 4271.0 2420.0
 3.0 4.1 1.1 2753.0 1244.0
 4.0 3.6 0.4 4425.0 1081.0
 3.0 3.5 0.5 2304.0 14.0
 1.0 2.7 1.7 975.0 784.0
 4.0 2.8 1.2 5831.0 168.0
 1.0 3.0 2.0 1100.0 2136.0
 5.0 3.9 1.1 3308.0 1028.0
 2.0 2.8 0.8 4140.0 2717.0
 1.0 2.6 1.6 5305.0 3285.0
 5.0 4.5 0.5 4298.0 668.0
 5.0 4.4 0.6 186.0 2028.0
 2.0 2.6 0.6 4390.0 544.0
 5.0 4.2 0.8 5848.0 111.0
 4.0 3.9 0.1 5754.0 247.0
 3.0 3.7 0.7 238.0 3100.0
 5.0 4.0 1.0 2251.0 1079.0
 5.0 3.8 1.2 1244.0 2502.0
 3.0 3.9 0.9 3663.0 3366.0
 5.0 3.9 1.1 691.0 2302.0
 3.0 4.1 1.1 2486.0 3671.0
 4.0 3.9 0.1 696.0 2662.0
 4.0 2.4 1.6 4089.0 2473.0
 4.0 3.6 0.4 3067.0 3792.0
 4.0 3.2 0.8 2164.0 3698.0
 4.0 4.4 0.4 4647.0 2360.0
 3.0 2.6 0.4 975.0 3354.0
 2.0 4.3 2.3 4401.0 2571.0
 4.0 3.4 0.6 2272.0 3798.0
 4.0 3.6 0.4 3029.0 21.0
 4.0 3.6 0.4 1916.0 1959.0
 3.0 3.5 0.5 4220.0 597.0
 1.0 2.5 1.5 2010.0 2668.0
 4.0 3.9 0.1 1179.0 2664.0
 5.0 3.5 1.5 5246.0 231.0
 1.0 2.9 1.9 673.0 3053.0
 5.0 4.1 0.9 876.0 589.0
 1.0 2.4 1.4 4268.0 3064.0
 4.0 3.2 0.8 1076.0 1409.0
 4.0 3.8 0.2 5837.0 3039.0
 4.0 3.5 0.5 735.0 2883.0
 3.0 3.9 0.9 2608.0 3751.0
 2.0 3.1 1.1 2504.0 3016.0
 3.0 3.9 0.9 5636.0 1270.0
 4.0 4.0 0.0 4150.0 1079.0
 4.0 4.2 0.2 339.0 3090.0
 3.0 3.1 0.1 5306.0 218.0
 4.0 4.0 0.0 2608.0 1292.0
 5.0 3.5 1.5 3885.0 3608.0
 4.0 3.7 0.3 4608.0 441.0
 4.0 3.8 0.2 2656.0 2353.0
 3.0 3.5 0.5 3205.0 2045.0
 2.0 4.2 2.2 3823.0 1225.0
 1.0 2.1 1.1 3651.0 2404.0
 3.0 3.4 0.4 3475.0 3450.0
 4.0 3.9 0.1 1298.0 3405.0
 4.0 3.4 0.6 5738.0 112.0
 4.0 3.9 0.1 4007.0 2355.0
 3.0 3.3 0.3 4220.0 1395.0
 4.0 3.4 0.6 268.0 2694.0
 2.0 2.7 0.7 4216.0 1388.0
 3.0 3.4 0.4 3336.0 1042.0
 3.0 2.7 0.3 475.0 3688.0
 3.0 4.4 1.4 2980.0 858.0
 5.0 4.3 0.7 271.0 1278.0
 5.0 4.2 0.8 752.0 2396.0
 2.0 1.9 0.1 4972.0 2614.0
 5.0 4.0 1.0 2132.0 1077.0
 5.0 4.1 0.9 2480.0 293.0
 2.0 1.8 0.2 2097.0 393.0
 4.0 3.6 0.4 4115.0 3253.0
 3.0 2.8 0.2 3512.0 2052.0
 3.0 3.4 0.4 1640.0 2628.0
 4.0 3.9 0.1 2507.0 1860.0
 2.0 3.9 1.9 5492.0 11.0
 2.0 3.3 1.3 3967.0 2106.0
 4.0 3.8 0.2 302.0 480.0
 1.0 3.2 2.2 4916.0 3263.0
 3.0 3.1 0.1 5675.0 2718.0
 3.0 3.7 0.7 4089.0 2696.0
 4.0 2.7 1.3 4318.0 2429.0
 3.0 3.6 0.6 1244.0 39.0
 4.0 3.6 0.4 5282.0 2671.0
 3.0 2.9 0.1 2050.0 3051.0
 3.0 2.9 0.1 5254.0 3273.0
 4.0 3.2 0.8 5643.0 3219.0
 1.0 3.2 2.2 1285.0 3917.0
 4.0 3.7 0.3 5319.0 2371.0
 5.0 4.3 0.7 2932.0 1089.0
 4.0 4.0 0.0 984.0 3735.0
 4.0 3.2 0.8 2629.0 2881.0
 5.0 3.4 1.6 2228.0 648.0
 5.0 4.3 0.7 3337.0 1196.0
 4.0 3.3 0.7 1714.0 2021.0
 2.0 3.4 1.4 1755.0 339.0
 5.0 4.5 0.5 2002.0 1260.0
 5.0 4.3 0.7 5848.0 3095.0
 3.0 4.0 1.0 5111.0 1080.0
 4.0 3.9 0.1 4744.0 594.0
 5.0 4.2 0.8 4647.0 1235.0
 4.0 4.3 0.3 5788.0 1219.0
 5.0 4.0 1.0 2166.0 2791.0
 3.0 2.8 0.2 1172.0 2805.0
 4.0 3.4 0.6 548.0 3298.0
 5.0 3.2 1.8 4306.0 3445.0
 5.0 3.9 1.1 3679.0 1257.0
 1.0 2.5 1.5 4028.0 3632.0
 3.0 3.6 0.6 5492.0 2239.0
 3.0 3.8 0.8 408.0 3271.0
 2.0 3.2 1.2 5367.0 1015.0
 3.0 3.0 0.0 4098.0 2699.0
 1.0 2.4 1.4 4009.0 2902.0
 2.0 3.4 1.4 856.0 3594.0
 4.0 3.9 0.1 1490.0 3916.0
 3.0 3.7 0.7 1134.0 480.0
 5.0 4.1 0.9 204.0 3471.0
 4.0 3.8 0.2 1998.0 3098.0
 3.0 3.8 0.8 952.0 235.0
 3.0 3.1 0.1 3624.0 277.0
 4.0 4.2 0.2 3401.0 914.0
 2.0 2.5 0.5 1425.0 436.0
 2.0 2.1 0.1 1329.0 880.0
 4.0 3.5 0.5 3879.0 453.0
 4.0 4.2 0.2 5927.0 213.0
 4.0 3.3 0.7 461.0 2105.0
 4.0 4.2 0.2 5746.0 3000.0
 4.0 4.2 0.2 3930.0 928.0
 5.0 4.2 0.8 802.0 111.0
 1.0 3.2 2.2 2737.0 3594.0
 2.0 3.2 1.2 2829.0 1329.0
 4.0 3.9 0.1 2567.0 1923.0
 4.0 3.8 0.2 558.0 2130.0
 5.0 4.5 0.5 2977.0 318.0
 4.0 3.7 0.3 4049.0 1127.0
 5.0 4.6 0.4 2523.0 858.0
 4.0 3.6 0.4 3594.0 2628.0
 5.0 4.4 0.6 4732.0 3435.0
 2.0 3.8 1.8 5321.0 1649.0
 3.0 2.8 0.2 1760.0 2558.0
 4.0 4.2 0.2 3892.0 942.0
 4.0 3.8 0.2 2670.0 345.0
 4.0 3.3 0.7 2529.0 3478.0
 3.0 3.5 0.5 4596.0 1670.0
 5.0 4.4 0.6 1274.0 1250.0
 5.0 3.6 1.4 1241.0 1721.0
 3.0 3.6 0.6 2985.0 2085.0
 3.0 3.1 0.1 38.0 1835.0
 4.0 3.7 0.3 3761.0 1376.0
 3.0 3.2 0.2 1671.0 3614.0
 5.0 3.7 1.3 2337.0 1580.0
 4.0 3.5 0.5 4596.0 2005.0
 3.0 3.5 0.5 3729.0 1186.0
 4.0 2.4 1.6 4281.0 1772.0
 5.0 4.6 0.4 2237.0 527.0
 2.0 2.8 0.8 5761.0 2095.0
 3.0 3.6 0.6 1851.0 1295.0
 4.0 3.9 0.1 5698.0 2137.0
 2.0 2.0 0.0 5875.0 2701.0
 3.0 4.2 1.2 5916.0 457.0
 2.0 2.9 0.9 1068.0 382.0
 3.0 3.7 0.7 4702.0 3052.0
 5.0 4.2 0.8 1665.0 1210.0
 2.0 3.4 1.4 1440.0 3555.0
 4.0 3.8 0.2 1122.0 2117.0
 5.0 4.3 0.7 3474.0 1217.0
 3.0 2.3 0.7 204.0 2986.0
 5.0 4.4 0.6 3425.0 1213.0
