real wU wUE  wI wIE  user  film
 4.0 2.1 1.9 4.4 0.4 5549.0 496.0
 4.0 2.3 1.7 3.9 0.1 468.0 451.0
 4.0 1.7 2.3 3.7 0.3 2833.0 574.0
 3.5 3.4 0.1 3.6 0.1 29.0 522.0
 4.0 2.5 1.5 3.3 0.7 75.0 60.0
 4.0 2.2 1.8 3.6 0.4 288.0 462.0
 4.0 2.3 1.7 2.5 1.5 1553.0 323.0
 5.0 2.1 2.9 3.6 1.4 1500.0 579.0
 4.0 3.4 0.6 2.9 1.1 450.0 114.0
 3.0 2.0 1.0 3.4 0.4 2570.0 238.0
 4.0 2.0 2.0 4.0 0.0 1944.0 451.0
 2.5 1.9 0.6 3.6 1.1 973.0 504.0
 3.0 2.2 0.8 4.3 1.3 987.0 219.0
 4.0 1.4 2.6 2.5 1.5 6760.0 381.0
 3.0 2.6 0.4 3.7 0.7 174.0 526.0
 4.5 2.9 1.6 3.6 0.9 258.0 576.0
 4.0 2.7 1.3 4.1 0.1 180.0 74.0
 3.0 2.1 0.9 2.5 0.5 3111.0 242.0
 4.0 2.3 1.7 3.5 0.5 2276.0 305.0
 3.5 2.8 0.7 2.9 0.6 644.0 559.0
 3.0 2.9 0.1 3.9 0.9 495.0 406.0
 4.0 2.4 1.6 3.7 0.3 174.0 72.0
 4.5 2.6 1.9 3.5 1.0 441.0 560.0
 4.5 2.2 2.3 3.3 1.2 3781.0 286.0
 0.5 1.6 1.1 2.9 2.4 1150.0 72.0
 3.0 1.1 1.9 4.5 1.5 994.0 14.0
 4.0 1.7 2.3 3.6 0.4 2172.0 604.0
 4.5 1.2 3.3 4.2 0.3 6218.0 298.0
 3.5 1.8 1.7 4.4 0.9 3787.0 104.0
 2.5 1.8 0.7 3.3 0.8 373.0 352.0
 3.5 1.0 2.5 3.9 0.4 1189.0 261.0
 1.0 1.8 0.8 1.0 0.0 3659.0 462.0
 3.0 1.2 1.8 2.6 0.4 1607.0 14.0
 5.0 1.9 3.1 3.9 1.1 2174.0 188.0
 3.0 1.8 1.2 3.4 0.4 2133.0 387.0
 3.5 2.3 1.2 3.9 0.4 326.0 504.0
 4.5 2.8 1.7 4.2 0.3 99.0 137.0
 2.0 1.5 0.5 3.0 1.0 3668.0 72.0
 5.0 3.4 1.6 3.9 1.1 202.0 3.0
 4.0 3.2 0.8 3.0 1.0 449.0 120.0
 3.5 2.2 1.3 2.7 0.8 1156.0 417.0
 4.0 3.3 0.7 3.2 0.8 87.0 441.0
 2.5 2.0 0.5 3.2 0.7 1455.0 199.0
 3.0 1.8 1.2 3.3 0.3 2119.0 563.0
 0.5 1.9 1.4 4.0 3.5 106.0 456.0
 5.0 2.1 2.9 3.4 1.6 1977.0 101.0
 4.0 2.5 1.5 3.8 0.2 40.0 118.0
 5.0 3.5 1.5 3.7 1.3 27.0 120.0
 1.0 1.4 0.4 2.8 1.8 1156.0 623.0
 5.0 2.5 2.5 3.9 1.1 785.0 613.0
 3.0 2.6 0.4 4.0 1.0 134.0 422.0
 5.0 3.2 1.8 4.2 0.8 474.0 133.0
 5.0 2.9 2.1 3.5 1.5 2682.0 241.0
 4.0 3.0 1.0 3.6 0.4 110.0 500.0
 4.0 2.3 1.7 3.1 0.9 2082.0 317.0
 5.0 3.4 1.6 4.0 1.0 190.0 498.0
 4.0 2.1 1.9 3.8 0.2 2316.0 74.0
 3.0 2.7 0.3 3.1 0.1 146.0 240.0
 4.0 2.9 1.1 3.8 0.2 489.0 479.0
 1.5 1.1 0.4 3.2 1.7 501.0 623.0
 1.5 1.9 0.4 3.1 1.6 2544.0 392.0
 2.5 1.0 1.5 2.9 0.4 8808.0 623.0
 4.5 2.8 1.7 3.8 0.7 1339.0 560.0
 3.0 2.5 0.5 3.0 0.0 2082.0 17.0
 4.0 2.5 1.5 3.8 0.2 497.0 626.0
 3.0 2.3 0.7 3.1 0.1 56.0 262.0
 5.0 3.2 1.8 3.1 1.9 690.0 287.0
 3.0 2.3 0.7 3.9 0.9 264.0 528.0
 3.0 1.9 1.1 2.3 0.7 1610.0 663.0
 3.5 3.0 0.5 3.8 0.3 1299.0 670.0
 5.0 3.6 1.4 3.1 1.9 146.0 567.0
 4.5 3.1 1.4 3.0 1.5 48.0 291.0
 2.0 1.0 1.0 3.0 1.0 4056.0 623.0
 2.0 2.1 0.1 3.8 1.8 3011.0 311.0
 3.0 2.5 0.5 3.6 0.6 2510.0 544.0
 5.0 3.0 2.0 4.1 0.9 179.0 354.0
 3.5 1.7 1.8 3.7 0.2 1527.0 474.0
 4.0 2.5 1.5 3.8 0.2 497.0 137.0
 4.0 2.0 2.0 2.6 1.4 2592.0 471.0
 1.0 2.8 1.8 4.2 3.2 551.0 598.0
 3.0 2.8 0.2 3.8 0.8 517.0 174.0
 3.0 1.9 1.1 2.8 0.2 1947.0 118.0
 5.0 2.6 2.4 3.6 1.4 1.0 465.0
 4.0 2.6 1.4 3.7 0.3 1421.0 315.0
 2.0 1.3 0.7 2.7 0.7 1520.0 212.0
 1.0 2.2 1.2 2.8 1.8 443.0 573.0
 1.0 2.0 1.0 3.5 2.5 2327.0 231.0
 3.0 2.9 0.1 3.3 0.3 696.0 181.0
 4.0 2.7 1.3 4.2 0.2 24.0 305.0
 4.5 2.1 2.4 3.6 0.9 1578.0 72.0
 4.5 1.9 2.6 3.8 0.7 1341.0 387.0
 4.5 3.3 1.2 4.0 0.5 457.0 147.0
 2.0 1.7 0.3 2.4 0.4 4619.0 284.0
 5.0 2.8 2.2 4.3 0.7 328.0 471.0
 4.0 2.5 1.5 3.8 0.2 4096.0 519.0
 4.0 2.3 1.7 4.0 0.0 1378.0 416.0
 4.0 2.9 1.1 3.7 0.3 336.0 56.0
 4.0 2.1 1.9 3.6 0.4 5900.0 586.0
 4.0 2.4 1.6 3.0 1.0 56.0 420.0
 4.0 3.3 0.7 3.5 0.5 72.0 213.0
 4.0 2.5 1.5 4.0 0.0 522.0 22.0
 4.0 2.5 1.5 3.9 0.1 777.0 471.0
 3.0 1.9 1.1 3.7 0.7 2737.0 451.0
 3.0 2.9 0.1 3.9 0.9 113.0 471.0
 4.0 2.6 1.4 4.0 0.0 2042.0 163.0
 3.5 2.6 0.9 3.5 0.0 346.0 595.0
 3.0 2.2 0.8 2.4 0.6 3335.0 452.0
 4.0 1.9 2.1 3.8 0.2 3152.0 47.0
 2.0 1.3 0.7 2.8 0.8 554.0 456.0
 3.0 2.8 0.2 2.6 0.4 540.0 50.0
 3.0 2.7 0.3 3.9 0.9 119.0 528.0
 2.5 3.2 0.7 3.8 1.3 354.0 178.0
 4.0 2.6 1.4 2.9 1.1 10.0 606.0
 4.0 3.0 1.0 3.6 0.4 835.0 33.0
 3.0 1.9 1.1 2.3 0.7 921.0 305.0
 3.0 3.3 0.3 2.7 0.3 323.0 561.0
 1.5 1.0 0.5 4.0 2.5 7781.0 546.0
 4.0 2.9 1.1 3.5 0.5 2154.0 341.0
 4.0 2.6 1.4 2.9 1.1 3012.0 486.0
 3.5 1.4 2.1 3.2 0.3 1456.0 14.0
 3.0 2.8 0.2 3.6 0.6 4521.0 568.0
 2.0 2.9 0.9 3.7 1.7 512.0 101.0
 5.0 2.1 2.9 4.3 0.7 328.0 474.0
 4.0 2.7 1.3 3.8 0.2 92.0 475.0
 3.0 1.9 1.1 3.6 0.6 2748.0 579.0
 5.0 2.9 2.1 3.9 1.1 92.0 246.0
 4.0 2.1 1.9 3.2 0.8 333.0 579.0
 3.0 1.6 1.4 0.5 2.5 8480.0 579.0
 4.5 2.6 1.9 4.1 0.4 480.0 526.0
 4.0 2.1 1.9 3.2 0.8 2123.0 532.0
 3.5 1.4 2.1 3.1 0.4 719.0 212.0
 0.5 2.2 1.7 3.9 3.4 3390.0 53.0
 4.0 3.2 0.8 4.1 0.1 179.0 135.0
 3.0 2.7 0.3 3.4 0.4 448.0 547.0
 0.5 1.5 1.0 3.2 2.7 4926.0 164.0
 4.0 2.7 1.3 3.9 0.1 584.0 219.0
 4.0 2.7 1.3 3.7 0.3 200.0 496.0
 3.0 2.1 0.9 3.3 0.3 2750.0 29.0
 3.0 3.0 0.0 3.5 0.5 1941.0 160.0
 2.5 1.4 1.1 2.4 0.1 2274.0 456.0
 4.0 2.7 1.3 3.4 0.6 878.0 238.0
 4.5 3.6 0.9 4.2 0.3 99.0 631.0
 2.0 1.6 0.4 2.8 0.8 353.0 413.0
 4.5 2.7 1.8 4.2 0.3 177.0 614.0
 1.5 2.0 0.5 3.7 2.2 2237.0 530.0
 3.0 2.8 0.2 3.3 0.3 432.0 470.0
 3.0 2.3 0.7 3.1 0.1 1491.0 480.0
 3.0 2.5 0.5 3.3 0.3 749.0 573.0
 3.0 2.7 0.3 3.1 0.1 140.0 547.0
 3.0 2.7 0.3 3.0 0.0 922.0 179.0
 5.0 2.4 2.6 3.2 1.8 28.0 390.0
 4.0 1.9 2.1 4.0 0.0 1550.0 474.0
 5.0 1.6 3.4 4.0 1.0 884.0 456.0
 5.0 2.5 2.5 3.4 1.6 211.0 389.0
 2.0 2.2 0.2 3.7 1.7 334.0 438.0
 2.0 1.8 0.2 3.6 1.6 3232.0 55.0
 4.0 1.9 2.1 4.0 0.0 3230.0 72.0
 4.0 2.9 1.1 3.5 0.5 1941.0 661.0
 3.5 3.0 0.5 3.0 0.5 411.0 234.0
 4.0 1.8 2.2 3.0 1.0 4435.0 101.0
 4.0 2.0 2.0 3.6 0.4 4531.0 110.0
 3.5 2.1 1.4 3.9 0.4 1044.0 379.0
 2.0 2.4 0.4 1.8 0.2 5703.0 361.0
 5.0 2.9 2.1 4.2 0.8 474.0 267.0
 4.0 3.0 1.0 3.3 0.7 146.0 56.0
 5.0 3.2 1.8 4.0 1.0 479.0 406.0
 0.5 1.3 0.8 2.0 1.5 4501.0 352.0
 5.0 3.1 1.9 2.2 2.8 3129.0 45.0
 3.0 3.0 0.0 3.2 0.2 452.0 640.0
 2.5 2.2 0.3 4.0 1.5 581.0 579.0
 3.5 1.2 2.3 3.0 0.5 6366.0 310.0
 4.0 1.9 2.1 3.0 1.0 4435.0 231.0
 4.0 1.7 2.3 1.0 3.0 5897.0 471.0
 3.0 2.0 1.0 3.9 0.9 1041.0 164.0
 3.0 1.8 1.2 3.1 0.1 5246.0 204.0
 5.0 2.3 2.7 4.5 0.5 7805.0 543.0
 3.0 2.4 0.6 2.4 0.6 4284.0 181.0
 3.5 3.0 0.5 4.0 0.5 1550.0 233.0
 2.0 1.7 0.3 2.4 0.4 539.0 411.0
 4.0 2.9 1.1 3.8 0.2 1597.0 103.0
 2.0 2.0 0.0 3.1 1.1 1422.0 16.0
 2.0 1.9 0.1 3.7 1.7 9.0 310.0
 3.5 2.7 0.8 3.6 0.1 1578.0 480.0
 3.0 2.0 1.0 3.6 0.6 226.0 385.0
 4.0 2.8 1.2 3.8 0.2 368.0 653.0
 4.0 2.8 1.2 3.4 0.6 833.0 56.0
 2.0 3.2 1.2 4.0 2.0 194.0 147.0
 4.5 2.6 1.9 3.3 1.2 17.0 354.0
 5.0 2.5 2.5 3.9 1.1 159.0 118.0
 4.0 2.2 1.8 4.2 0.2 275.0 22.0
 4.0 2.4 1.6 3.5 0.5 758.0 513.0
 3.5 1.3 2.2 3.2 0.3 7196.0 451.0
 3.0 3.0 0.0 3.8 0.8 40.0 536.0
 4.0 2.3 1.7 4.5 0.5 6518.0 584.0
 1.0 1.7 0.7 2.2 1.2 3128.0 563.0
 4.0 2.6 1.4 3.6 0.4 59.0 305.0
 3.5 2.1 1.4 3.0 0.5 4365.0 571.0
 5.0 3.0 2.0 4.0 1.0 286.0 3.0
 5.0 3.1 1.9 3.7 1.3 214.0 584.0
 3.0 2.3 0.7 3.3 0.3 4135.0 563.0
 1.0 1.2 0.2 2.4 1.4 1661.0 14.0
 3.0 2.6 0.4 3.3 0.3 111.0 104.0
 5.0 3.0 2.0 4.1 0.9 173.0 218.0
 4.0 2.1 1.9 3.5 0.5 2108.0 167.0
 3.0 1.8 1.2 3.5 0.5 4628.0 118.0
 4.5 2.6 1.9 3.1 1.4 1539.0 168.0
 3.0 2.6 0.4 3.8 0.8 1339.0 526.0
 4.0 1.8 2.2 3.8 0.2 2346.0 508.0
 3.5 2.6 0.9 3.8 0.3 633.0 323.0
 3.5 1.5 2.0 3.6 0.1 8928.0 647.0
 4.5 2.1 2.4 3.5 1.0 969.0 22.0
 5.0 2.5 2.5 4.2 0.8 783.0 390.0
 4.0 3.1 0.9 3.7 0.3 174.0 233.0
 4.0 2.9 1.1 3.8 0.2 181.0 560.0
 4.0 3.3 0.7 3.7 0.3 447.0 270.0
 1.0 1.5 0.5 3.0 2.0 880.0 503.0
 4.5 2.4 2.1 3.1 1.4 690.0 579.0
 4.5 2.7 1.8 3.9 0.6 134.0 663.0
 4.0 3.4 0.6 3.6 0.4 59.0 124.0
 1.0 2.1 1.1 3.2 2.2 231.0 508.0
 3.0 2.1 0.9 3.9 0.9 412.0 169.0
 3.0 2.5 0.5 3.5 0.5 101.0 508.0
 5.0 2.3 2.7 3.9 1.1 2212.0 335.0
 3.0 1.9 1.1 3.6 0.6 308.0 623.0
 5.0 3.4 1.6 3.8 1.2 1435.0 576.0
 5.0 2.2 2.8 4.0 1.0 3411.0 595.0
 5.0 3.3 1.7 4.1 0.9 1289.0 576.0
 3.0 2.5 0.5 3.4 0.4 2524.0 104.0
 3.0 2.4 0.6 3.8 0.8 633.0 148.0
 3.5 2.1 1.4 3.3 0.2 888.0 504.0
 3.0 3.2 0.2 3.3 0.3 101.0 537.0
 5.0 3.1 1.9 3.9 1.1 161.0 291.0
 5.0 2.9 2.1 4.2 0.8 398.0 557.0
 4.0 2.8 1.2 3.8 0.2 438.0 6.0
 3.0 2.1 0.9 2.7 0.3 2952.0 32.0
 5.0 3.9 1.1 4.0 1.0 143.0 279.0
 3.0 2.3 0.7 3.7 0.7 626.0 548.0
 3.0 2.6 0.4 3.8 0.8 546.0 142.0
 5.0 2.2 2.8 4.0 1.0 581.0 357.0
 3.0 2.4 0.6 3.6 0.6 2130.0 601.0
 5.0 3.4 1.6 4.1 0.9 130.0 250.0
 4.5 3.5 1.0 4.1 0.4 122.0 543.0
 3.0 3.1 0.1 3.8 0.8 170.0 552.0
 3.0 2.9 0.1 3.6 0.6 2682.0 213.0
 5.0 3.3 1.7 4.1 0.9 768.0 241.0
 5.0 2.6 2.4 3.3 1.7 432.0 19.0
 4.0 2.5 1.5 4.0 0.0 4578.0 596.0
 3.0 2.5 0.5 3.5 0.5 622.0 513.0
 5.0 2.5 2.5 2.0 3.0 949.0 50.0
 0.5 1.8 1.3 2.9 2.4 628.0 546.0
 1.5 1.4 0.1 2.5 1.0 3020.0 456.0
 2.0 1.9 0.1 3.3 1.3 2279.0 29.0
 5.0 2.8 2.2 3.9 1.1 38.0 35.0
 5.0 3.1 1.9 4.0 1.0 194.0 429.0
 4.0 2.3 1.7 3.3 0.7 116.0 94.0
 4.0 2.3 1.7 3.2 0.8 54.0 42.0
 1.0 1.3 0.3 2.1 1.1 2571.0 314.0
 4.5 2.0 2.5 4.3 0.2 114.0 72.0
 3.0 1.2 1.8 3.0 0.0 6354.0 310.0
 4.5 2.4 2.1 3.6 0.9 1712.0 90.0
 3.0 2.0 1.0 3.6 0.6 764.0 508.0
 2.0 1.7 0.3 2.6 0.6 2598.0 528.0
 2.0 2.2 0.2 2.3 0.3 1821.0 485.0
 4.5 3.3 1.2 3.8 0.7 92.0 457.0
 4.0 1.4 2.6 2.7 1.3 5119.0 563.0
 3.5 2.8 0.7 3.4 0.1 64.0 151.0
 3.0 1.7 1.3 1.5 1.5 5988.0 284.0
 4.5 2.7 1.8 3.8 0.7 3962.0 624.0
 4.0 2.8 1.2 4.1 0.1 327.0 29.0
 4.5 2.4 2.1 4.0 0.5 691.0 358.0
 4.0 2.3 1.7 3.4 0.6 516.0 508.0
 4.0 1.6 2.4 3.2 0.8 908.0 72.0
 4.0 3.3 0.7 3.8 0.2 434.0 196.0
 3.0 2.7 0.3 3.9 0.9 95.0 25.0
 3.0 2.9 0.1 3.5 0.5 2208.0 245.0
 3.0 1.6 1.4 3.3 0.3 3019.0 546.0
 3.5 1.5 2.0 2.6 0.9 4652.0 293.0
 3.0 1.4 1.6 2.8 0.2 3314.0 47.0
 3.0 1.9 1.1 3.9 0.9 3415.0 460.0
 5.0 1.9 3.1 4.0 1.0 3410.0 101.0
 4.0 2.3 1.7 3.5 0.5 758.0 387.0
 5.0 2.4 2.6 3.8 1.2 1474.0 406.0
 1.5 1.0 0.5 2.7 1.2 3801.0 623.0
 4.0 3.2 0.8 3.1 0.9 90.0 656.0
 3.5 2.1 1.4 3.6 0.1 1308.0 499.0
 4.0 2.4 1.6 3.8 0.2 1266.0 293.0
 3.0 2.7 0.3 3.8 0.8 332.0 372.0
 4.5 3.0 1.5 3.3 1.2 3555.0 216.0
 4.5 2.7 1.8 3.9 0.6 785.0 267.0
 4.0 2.3 1.7 3.2 0.8 400.0 40.0
 4.5 2.5 2.0 3.0 1.5 2500.0 340.0
 3.0 2.4 0.6 3.0 0.0 687.0 515.0
 2.5 2.1 0.4 3.9 1.4 1475.0 211.0
 4.0 2.6 1.4 3.5 0.5 948.0 540.0
 3.5 1.1 2.4 4.5 1.0 6643.0 623.0
 4.5 2.7 1.8 4.0 0.5 198.0 560.0
 2.5 2.1 0.4 2.6 0.1 277.0 21.0
 5.0 2.5 2.5 4.1 0.9 402.0 149.0
 1.0 2.6 1.6 3.9 2.9 106.0 616.0
 4.0 1.5 2.5 4.2 0.2 6303.0 563.0
 4.0 1.8 2.2 3.8 0.2 3956.0 198.0
 3.0 2.2 0.8 3.0 0.0 2125.0 18.0
 3.0 1.7 1.3 3.1 0.1 2196.0 604.0
 3.5 1.8 1.7 4.0 0.5 2209.0 310.0
 3.5 1.9 1.6 3.1 0.4 378.0 460.0
 4.0 2.4 1.6 4.1 0.1 121.0 211.0
 2.0 2.4 0.4 3.2 1.2 397.0 129.0
 4.0 1.7 2.3 2.3 1.7 3203.0 204.0
 5.0 2.9 2.1 3.8 1.2 2090.0 480.0
 4.0 3.2 0.8 3.8 0.2 57.0 66.0
 3.5 1.2 2.3 3.4 0.1 1598.0 212.0
 4.0 1.5 2.5 3.3 0.7 5894.0 451.0
 4.0 3.0 1.0 3.7 0.3 2187.0 561.0
 4.5 1.6 2.9 4.0 0.5 5606.0 235.0
 4.0 1.2 2.8 3.4 0.6 2707.0 623.0
 4.5 2.6 1.9 3.6 0.9 1344.0 344.0
 1.0 1.8 0.8 2.7 1.7 2706.0 357.0
 2.5 2.0 0.5 3.0 0.5 2521.0 149.0
 3.0 0.9 2.1 2.0 1.0 2059.0 261.0
 4.0 3.0 1.0 3.0 1.0 65.0 400.0
 3.0 1.8 1.2 3.1 0.1 1277.0 467.0
 3.5 1.3 2.2 2.7 0.8 3651.0 72.0
 5.0 1.1 3.9 5.0 0.0 2679.0 546.0
 4.0 1.8 2.2 3.7 0.3 2613.0 451.0
 3.0 1.4 1.6 2.8 0.2 2705.0 623.0
 4.5 3.0 1.5 3.9 0.6 182.0 302.0
 4.5 2.6 1.9 4.0 0.5 1810.0 315.0
 5.0 2.2 2.8 4.0 1.0 412.0 175.0
 5.0 2.5 2.5 3.8 1.2 875.0 56.0
 4.0 3.4 0.6 4.0 0.0 219.0 27.0
 5.0 2.1 2.9 3.7 1.3 1956.0 16.0
 3.0 2.1 0.9 3.2 0.2 156.0 284.0
 0.5 1.0 0.5 3.5 3.0 3253.0 206.0
 3.0 3.0 0.0 3.0 0.0 56.0 31.0
 4.0 1.9 2.1 3.5 0.5 5527.0 231.0
 2.0 2.4 0.4 2.6 0.6 2080.0 181.0
 4.0 1.1 2.9 4.0 0.0 1326.0 14.0
 3.0 1.4 1.6 3.5 0.5 6046.0 451.0
 3.0 2.6 0.4 3.5 0.5 50.0 415.0
 3.0 2.0 1.0 3.4 0.4 629.0 664.0
 4.0 2.8 1.2 3.9 0.1 326.0 433.0
 4.0 1.6 2.4 3.3 0.7 6163.0 293.0
 2.5 1.0 1.5 2.5 0.0 5446.0 212.0
 4.0 3.5 0.5 4.2 0.2 99.0 15.0
 4.0 2.5 1.5 2.9 1.1 80.0 1.0
 3.0 2.4 0.6 2.9 0.1 433.0 517.0
 3.0 1.7 1.3 4.0 1.0 3945.0 175.0
 4.0 1.6 2.4 3.6 0.4 5181.0 198.0
 4.0 3.2 0.8 3.3 0.7 432.0 117.0
 3.5 1.9 1.6 3.6 0.1 478.0 474.0
 5.0 1.9 3.1 3.9 1.1 172.0 623.0
 4.5 2.9 1.6 4.0 0.5 103.0 595.0
 5.0 3.2 1.8 2.9 2.1 450.0 109.0
 3.5 2.0 1.5 3.3 0.2 361.0 211.0
 3.0 1.6 1.4 3.4 0.4 825.0 310.0
 3.5 3.2 0.3 2.1 1.4 822.0 299.0
 3.0 1.3 1.7 2.0 1.0 4682.0 563.0
 4.0 3.2 0.8 3.4 0.6 72.0 666.0
 2.0 2.0 0.0 3.8 1.8 2998.0 563.0
