 real U  UE   I  IE  tr  trE gbe gbeE  user  film
 4.0 4.0 0.0 4.0 0.0 4.1 0.1 4.4 0.4 3296.0 588.0
 3.0 4.0 1.0 4.0 1.0 3.8 0.8 3.9 0.9 4851.0 2653.0
 5.0 3.0 2.0 3.0 2.0 2.8 2.2 3.4 1.6 4249.0 1437.0
 4.0 3.0 1.0 4.0 0.0 3.6 0.4 3.9 0.1 614.0 379.0
 3.0 3.0 0.0 4.0 1.0 3.8 0.8 3.9 0.9 309.0 1407.0
 5.0 5.0 0.0 5.0 0.0 3.9 1.1 4.0 1.0 5009.0 3750.0
 4.0 4.0 0.0 2.0 2.0 3.4 0.6 3.8 0.2 3400.0 3106.0
 4.0 3.0 1.0 3.0 1.0 3.7 0.3 4.0 0.0 5555.0 2116.0
 3.0 3.0 0.0 3.0 0.0 2.9 0.1 3.2 0.2 2773.0 2716.0
 1.0 3.0 2.0 3.0 2.0 3.3 2.3 3.6 2.6 3647.0 366.0
 3.0 1.0 2.0 3.0 0.0 2.9 0.1 3.0 0.0 5090.0 2409.0
 3.0 2.0 1.0 4.0 1.0 3.7 0.7 4.0 1.0 3470.0 160.0
 3.0 3.0 0.0 2.0 1.0 3.7 0.7 4.5 1.5 1009.0 3100.0
 3.0 3.0 0.0 4.0 1.0 3.9 0.9 4.3 1.3 5432.0 3359.0
 3.0 3.0 0.0 3.0 0.0 3.2 0.2 3.8 0.8 1850.0 3743.0
 4.0 4.0 0.0 2.0 2.0 3.3 0.7 3.6 0.4 5722.0 3895.0
 4.0 2.0 2.0 3.0 1.0 3.8 0.2 3.8 0.2 1263.0 439.0
 5.0 1.0 4.0 3.0 2.0 3.7 1.3 4.2 0.8 304.0 2117.0
 4.0 1.0 3.0 4.0 0.0 3.9 0.1 4.1 0.1 4590.0 1922.0
 1.0 2.0 1.0 3.0 2.0 2.6 1.6 3.2 2.2 5510.0 207.0
 4.0 4.0 0.0 4.0 0.0 4.0 0.0 4.2 0.2 4078.0 2312.0
 3.0 3.0 0.0 3.0 0.0 3.7 0.7 3.8 0.8 876.0 1395.0
 4.0 5.0 1.0 3.0 1.0 4.0 0.0 4.0 0.0 5786.0 2647.0
 2.0 2.0 0.0 3.0 1.0 3.3 1.3 3.3 1.3 3939.0 2874.0
 3.0 4.0 1.0 3.0 0.0 3.6 0.6 4.0 1.0 2213.0 1720.0
 3.0 4.0 1.0 3.0 0.0 3.8 0.8 4.0 1.0 998.0 2871.0
 5.0 5.0 0.0 1.0 4.0 3.9 1.1 4.0 1.0 5721.0 3407.0
 4.0 5.0 1.0 5.0 1.0 4.2 0.2 4.3 0.3 4508.0 109.0
 1.0 3.0 2.0 2.0 1.0 3.0 2.0 3.8 2.8 2454.0 1543.0
 4.0 4.0 0.0 3.0 1.0 3.7 0.3 4.3 0.3 3779.0 3701.0
 4.0 4.0 0.0 5.0 1.0 3.7 0.3 3.7 0.3 1296.0 1884.0
 4.0 1.0 3.0 3.0 1.0 4.2 0.2 4.2 0.2 5085.0 913.0
 4.0 4.0 0.0 3.0 1.0 3.7 0.3 4.0 0.0 741.0 3526.0
 1.0 1.0 0.0 1.0 0.0 1.9 0.9 2.4 1.4 3525.0 3391.0
 5.0 5.0 0.0 4.0 1.0 4.6 0.4 4.7 0.3 1987.0 317.0
 4.0 4.0 0.0 3.0 1.0 3.1 0.9 3.5 0.5 5284.0 2446.0
 5.0 3.0 2.0 1.0 4.0 3.5 1.5 3.5 1.5 1412.0 162.0
 3.0 2.0 1.0 4.0 1.0 3.5 0.5 3.7 0.7 4261.0 2004.0
 3.0 3.0 0.0 3.0 0.0 3.0 0.0 3.3 0.3 3647.0 1853.0
 3.0 4.0 1.0 2.0 1.0 3.9 0.9 3.9 0.9 3520.0 1999.0
 3.0 4.0 1.0 5.0 2.0 3.8 0.8 4.4 1.4 2884.0 537.0
 3.0 1.0 2.0 2.0 1.0 3.1 0.1 3.2 0.2 4533.0 1675.0
 4.0 4.0 0.0 4.0 0.0 3.8 0.2 4.0 0.0 1464.0 1963.0
 5.0 5.0 0.0 1.0 4.0 3.7 1.3 3.8 1.2 3434.0 1692.0
 4.0 4.0 0.0 3.0 1.0 3.9 0.1 4.0 0.0 4343.0 318.0
 5.0 5.0 0.0 3.0 2.0 4.2 0.8 4.3 0.7 1542.0 1616.0
 4.0 3.0 1.0 3.0 1.0 3.8 0.2 3.8 0.2 650.0 2945.0
 1.0 4.0 3.0 1.0 0.0 3.3 2.3 3.4 2.4 1050.0 1087.0
 4.0 3.0 1.0 4.0 0.0 3.3 0.7 3.6 0.4 668.0 2132.0
 2.0 4.0 2.0 1.0 1.0 3.4 1.4 3.5 1.5 5909.0 2244.0
 5.0 4.0 1.0 4.0 1.0 4.1 0.9 4.4 0.6 1496.0 1386.0
 4.0 3.0 1.0 1.0 3.0 3.4 0.6 3.8 0.2 1421.0 2495.0
 3.0 3.0 0.0 1.0 2.0 3.5 0.5 4.3 1.3 2009.0 1484.0
 2.0 4.0 2.0 1.0 1.0 2.2 0.2 2.7 0.7 5111.0 879.0
 3.0 1.0 2.0 3.0 0.0 3.4 0.4 3.6 0.6 5614.0 2888.0
 4.0 5.0 1.0 4.0 0.0 3.9 0.1 3.9 0.1 3519.0 1922.0
 4.0 5.0 1.0 4.0 0.0 3.4 0.6 3.9 0.1 5482.0 1568.0
 5.0 5.0 0.0 3.0 2.0 3.6 1.4 3.8 1.2 5705.0 3252.0
 5.0 2.0 3.0 3.0 2.0 3.6 1.4 4.1 0.9 2608.0 3475.0
 3.0 1.0 2.0 3.0 0.0 3.2 0.2 3.3 0.3 523.0 2261.0
 4.0 2.0 2.0 4.0 0.0 2.5 1.5 2.9 1.1 5681.0 2003.0
 4.0 1.0 3.0 3.0 1.0 4.1 0.1 4.3 0.3 5358.0 1229.0
 3.0 3.0 0.0 2.0 1.0 2.9 0.1 3.2 0.2 4643.0 2804.0
 3.0 4.0 1.0 3.0 0.0 3.5 0.5 3.8 0.8 423.0 179.0
 4.0 1.0 3.0 2.0 2.0 4.0 0.0 4.1 0.1 2694.0 2205.0
 3.0 5.0 2.0 3.0 0.0 3.9 0.9 4.0 1.0 508.0 1999.0
 3.0 5.0 2.0 4.0 1.0 3.7 0.7 3.8 0.8 1316.0 1632.0
 4.0 1.0 3.0 3.0 1.0 3.8 0.2 4.0 0.0 4424.0 3255.0
 4.0 1.0 3.0 5.0 1.0 4.0 0.0 4.3 0.3 3869.0 1209.0
 3.0 4.0 1.0 1.0 2.0 2.9 0.1 3.0 0.0 3282.0 2071.0
 4.0 4.0 0.0 4.0 0.0 3.7 0.3 3.9 0.1 5830.0 3460.0
 3.0 1.0 2.0 1.0 2.0 3.3 0.3 4.2 1.2 1748.0 2115.0
 5.0 4.0 1.0 5.0 0.0 4.1 0.9 4.4 0.6 1374.0 2395.0
 3.0 2.0 1.0 3.0 0.0 3.5 0.5 3.8 0.8 3647.0 2166.0
 4.0 4.0 0.0 3.0 1.0 3.8 0.2 4.3 0.3 3623.0 593.0
 2.0 3.0 1.0 2.0 0.0 3.5 1.5 4.2 2.2 2961.0 1091.0
 4.0 3.0 1.0 3.0 1.0 2.9 1.1 3.1 0.9 1116.0 3696.0
 5.0 4.0 1.0 3.0 2.0 3.9 1.1 4.1 0.9 697.0 31.0
 2.0 3.0 1.0 2.0 0.0 3.6 1.6 3.6 1.6 2377.0 38.0
 5.0 4.0 1.0 5.0 0.0 3.8 1.2 4.0 1.0 2230.0 593.0
 4.0 3.0 1.0 4.0 0.0 3.6 0.4 3.6 0.4 1806.0 376.0
 4.0 3.0 1.0 4.0 0.0 3.7 0.3 4.1 0.1 367.0 160.0
 4.0 4.0 0.0 4.0 0.0 3.7 0.3 3.8 0.2 3273.0 3478.0
 3.0 4.0 1.0 1.0 2.0 3.5 0.5 3.5 0.5 1646.0 1908.0
 2.0 3.0 1.0 3.0 1.0 3.4 1.4 3.4 1.4 1627.0 3754.0
 4.0 3.0 1.0 2.0 2.0 4.2 0.2 5.0 1.0 2348.0 1298.0
 2.0 5.0 3.0 2.0 0.0 3.1 1.1 3.3 1.3 1649.0 2477.0
 3.0 5.0 2.0 3.0 0.0 4.1 1.1 4.5 1.5 3215.0 932.0
 3.0 3.0 0.0 1.0 2.0 3.3 0.3 3.8 0.8 3687.0 3616.0
 4.0 4.0 0.0 4.0 0.0 3.4 0.6 3.8 0.2 5517.0 3449.0
 5.0 4.0 1.0 3.0 2.0 3.9 1.1 4.1 0.9 4762.0 2358.0
 4.0 5.0 1.0 4.0 0.0 3.6 0.4 3.7 0.3 4211.0 1607.0
 4.0 3.0 1.0 3.0 1.0 3.4 0.6 3.9 0.1 4371.0 3421.0
 3.0 5.0 2.0 3.0 0.0 4.1 1.1 4.5 1.5 4994.0 1229.0
 2.0 3.0 1.0 3.0 1.0 2.9 0.9 3.0 1.0 5255.0 369.0
 1.0 1.0 0.0 1.0 0.0 2.4 1.4 2.4 1.4 1111.0 890.0
 3.0 1.0 2.0 4.0 1.0 2.6 0.4 2.7 0.3 180.0 2410.0
 4.0 4.0 0.0 3.0 1.0 3.9 0.1 4.0 0.0 1897.0 3480.0
 4.0 3.0 1.0 3.0 1.0 3.6 0.4 3.8 0.2 3692.0 2990.0
 4.0 5.0 1.0 4.0 0.0 4.3 0.3 5.0 1.0 4399.0 2027.0
 4.0 4.0 0.0 4.0 0.0 4.1 0.1 4.2 0.2 1604.0 2965.0
 4.0 3.0 1.0 2.0 2.0 3.1 0.9 3.6 0.4 3770.0 2650.0
 5.0 4.0 1.0 3.0 2.0 3.6 1.4 3.7 1.3 5727.0 2005.0
 4.0 4.0 0.0 4.0 0.0 3.5 0.5 3.9 0.1 6009.0 2192.0
 3.0 3.0 0.0 2.0 1.0 3.2 0.2 3.8 0.8 1448.0 2013.0
 4.0 3.0 1.0 4.0 0.0 4.0 0.0 4.3 0.3 1525.0 2247.0
 3.0 3.0 0.0 3.0 0.0 3.6 0.6 3.7 0.7 4385.0 3475.0
 5.0 5.0 0.0 5.0 0.0 4.5 0.5 4.9 0.1 3964.0 857.0
 4.0 2.0 2.0 2.0 2.0 3.2 0.8 3.5 0.5 1085.0 375.0
 3.0 3.0 0.0 5.0 2.0 3.8 0.8 4.2 1.2 1696.0 530.0
 5.0 5.0 0.0 4.0 1.0 4.3 0.7 4.4 0.6 3282.0 1196.0
 4.0 3.0 1.0 3.0 1.0 3.4 0.6 3.7 0.3 5522.0 2526.0
 3.0 5.0 2.0 3.0 0.0 4.0 1.0 4.5 1.5 4143.0 2193.0
 4.0 5.0 1.0 5.0 1.0 3.8 0.2 4.1 0.1 3310.0 1638.0
 2.0 2.0 0.0 4.0 2.0 4.0 2.0 4.1 2.1 5757.0 1264.0
 4.0 1.0 3.0 3.0 1.0 4.0 0.0 4.3 0.3 4472.0 2950.0
 3.0 4.0 1.0 5.0 2.0 3.2 0.2 3.8 0.8 2884.0 1752.0
 4.0 3.0 1.0 4.0 0.0 2.9 1.1 3.6 0.4 715.0 2122.0
 5.0 5.0 0.0 3.0 2.0 3.7 1.3 4.3 0.7 751.0 347.0
 3.0 2.0 1.0 3.0 0.0 3.7 0.7 3.8 0.8 764.0 1018.0
 3.0 4.0 1.0 2.0 1.0 3.7 0.7 4.1 1.1 1615.0 1579.0
 4.0 3.0 1.0 5.0 1.0 3.9 0.1 3.9 0.1 3268.0 2796.0
 4.0 4.0 0.0 2.0 2.0 3.4 0.6 3.6 0.4 603.0 3004.0
 4.0 4.0 0.0 4.0 0.0 4.1 0.1 4.2 0.2 3276.0 1293.0
 1.0 1.0 0.0 1.0 0.0 3.0 2.0 3.1 2.1 734.0 3716.0
 4.0 3.0 1.0 3.0 1.0 2.3 1.7 2.6 1.4 3351.0 1968.0
 4.0 1.0 3.0 2.0 2.0 3.2 0.8 3.6 0.4 3625.0 1875.0
 5.0 4.0 1.0 4.0 1.0 4.1 0.9 4.4 0.6 4980.0 3094.0
 3.0 4.0 1.0 2.0 1.0 3.6 0.6 3.7 0.7 3401.0 3811.0
 4.0 3.0 1.0 4.0 0.0 3.8 0.2 4.1 0.1 2640.0 587.0
 3.0 3.0 0.0 1.0 2.0 3.1 0.1 3.1 0.1 5837.0 130.0
 4.0 2.0 2.0 3.0 1.0 3.1 0.9 3.2 0.8 3772.0 1587.0
 3.0 1.0 2.0 3.0 0.0 3.1 0.1 4.3 1.3 1911.0 1333.0
 4.0 4.0 0.0 3.0 1.0 3.7 0.3 3.9 0.1 3227.0 2114.0
 3.0 3.0 0.0 3.0 0.0 4.0 1.0 4.0 1.0 2604.0 1269.0
 2.0 1.0 1.0 3.0 1.0 2.1 0.1 2.2 0.2 530.0 630.0
 4.0 3.0 1.0 3.0 1.0 3.9 0.1 4.1 0.1 4626.0 3542.0
 3.0 3.0 0.0 4.0 1.0 3.4 0.4 3.6 0.6 3266.0 2733.0
 1.0 3.0 2.0 1.0 0.0 2.4 1.4 2.7 1.7 5887.0 2026.0
 5.0 3.0 2.0 5.0 0.0 4.1 0.9 4.6 0.4 3473.0 588.0
 3.0 4.0 1.0 3.0 0.0 3.7 0.7 3.8 0.8 1198.0 2352.0
 4.0 3.0 1.0 4.0 0.0 3.8 0.2 3.8 0.2 1263.0 1747.0
 3.0 3.0 0.0 2.0 1.0 3.4 0.4 3.6 0.6 5004.0 3523.0
 5.0 3.0 2.0 4.0 1.0 4.1 0.9 4.4 0.6 5676.0 1292.0
 2.0 3.0 1.0 2.0 0.0 2.7 0.7 3.0 1.0 4403.0 3062.0
 3.0 3.0 0.0 3.0 0.0 3.1 0.1 3.3 0.3 4789.0 3790.0
 4.0 4.0 0.0 4.0 0.0 4.1 0.1 4.2 0.2 1057.0 588.0
 1.0 5.0 4.0 2.0 1.0 4.1 3.1 4.7 3.7 751.0 3910.0
 5.0 5.0 0.0 4.0 1.0 4.1 0.9 4.2 0.8 815.0 2395.0
 3.0 3.0 0.0 3.0 0.0 4.0 1.0 4.2 1.2 4139.0 3362.0
 4.0 4.0 0.0 5.0 1.0 3.4 0.6 3.8 0.2 400.0 3106.0
 5.0 3.0 2.0 4.0 1.0 3.8 1.2 4.0 1.0 5344.0 3071.0
 4.0 4.0 0.0 2.0 2.0 4.0 0.0 4.3 0.3 2187.0 777.0
 3.0 3.0 0.0 4.0 1.0 3.4 0.4 3.6 0.6 4321.0 1458.0
 2.0 3.0 1.0 5.0 3.0 3.9 1.9 4.4 2.4 44.0 837.0
 2.0 4.0 2.0 2.0 0.0 3.7 1.7 4.1 2.1 5508.0 1958.0
 2.0 2.0 0.0 4.0 2.0 4.1 2.1 4.2 2.2 4369.0 2958.0
 5.0 4.0 1.0 5.0 0.0 4.0 1.0 4.3 0.7 3822.0 3061.0
 4.0 4.0 0.0 3.0 1.0 3.7 0.3 3.9 0.1 28.0 2915.0
 1.0 2.0 1.0 1.0 0.0 2.1 1.1 2.2 1.2 1340.0 2981.0
 4.0 4.0 0.0 4.0 0.0 3.9 0.1 3.9 0.1 4734.0 1226.0
 1.0 4.0 3.0 1.0 0.0 3.3 2.3 4.6 3.6 1339.0 3299.0
 3.0 4.0 1.0 2.0 1.0 4.2 1.2 4.3 1.3 1483.0 2328.0
 1.0 3.0 2.0 1.0 0.0 3.0 2.0 3.1 2.1 2934.0 441.0
 4.0 3.0 1.0 1.0 3.0 3.5 0.5 3.5 0.5 1412.0 2706.0
 4.0 4.0 0.0 4.0 0.0 3.6 0.4 3.8 0.2 5058.0 2057.0
 4.0 3.0 1.0 3.0 1.0 4.1 0.1 4.1 0.1 4280.0 2063.0
 5.0 4.0 1.0 5.0 0.0 4.0 1.0 4.6 0.4 4815.0 1295.0
 5.0 4.0 1.0 5.0 0.0 4.4 0.6 4.7 0.3 4959.0 911.0
 4.0 1.0 3.0 2.0 2.0 3.3 0.7 3.4 0.6 281.0 2802.0
 1.0 3.0 2.0 5.0 4.0 3.6 2.6 3.8 2.8 3134.0 2290.0
 4.0 4.0 0.0 4.0 0.0 3.8 0.2 4.2 0.2 5997.0 1392.0
 3.0 1.0 2.0 4.0 1.0 2.4 0.6 2.5 0.5 3511.0 1004.0
 4.0 4.0 0.0 3.0 1.0 3.8 0.2 4.1 0.1 1804.0 587.0
 3.0 3.0 0.0 4.0 1.0 3.3 0.3 3.9 0.9 3474.0 3685.0
 4.0 4.0 0.0 1.0 3.0 3.8 0.2 4.2 0.2 2730.0 3383.0
 3.0 4.0 1.0 4.0 1.0 3.8 0.8 4.2 1.2 3358.0 2942.0
 5.0 4.0 1.0 5.0 0.0 4.1 0.9 4.4 0.6 243.0 1306.0
 5.0 5.0 0.0 4.0 1.0 4.0 1.0 4.2 0.8 3427.0 3036.0
 4.0 2.0 2.0 4.0 0.0 2.2 1.8 2.5 1.5 1679.0 539.0
 4.0 4.0 0.0 4.0 0.0 3.2 0.8 3.5 0.5 4088.0 1134.0
 3.0 1.0 2.0 1.0 2.0 3.5 0.5 3.6 0.6 1167.0 3554.0
 4.0 3.0 1.0 5.0 1.0 3.7 0.3 3.9 0.1 898.0 1355.0
 4.0 3.0 1.0 3.0 1.0 3.2 0.8 3.3 0.7 4334.0 375.0
 5.0 4.0 1.0 3.0 2.0 3.7 1.3 4.2 0.8 1447.0 2242.0
 3.0 3.0 0.0 3.0 0.0 3.1 0.1 3.7 0.7 888.0 2246.0
 2.0 3.0 1.0 3.0 1.0 3.7 1.7 4.0 2.0 2160.0 356.0
 4.0 3.0 1.0 4.0 0.0 3.7 0.3 3.8 0.2 5584.0 3417.0
 3.0 2.0 1.0 2.0 1.0 3.3 0.3 3.5 0.5 3957.0 291.0
 5.0 2.0 3.0 4.0 1.0 3.8 1.2 4.5 0.5 4588.0 1284.0
 4.0 3.0 1.0 3.0 1.0 3.1 0.9 4.0 0.0 713.0 2687.0
 5.0 4.0 1.0 5.0 0.0 4.1 0.9 4.2 0.8 1050.0 1290.0
 3.0 4.0 1.0 2.0 1.0 3.7 0.7 3.9 0.9 4542.0 2705.0
 2.0 4.0 2.0 2.0 0.0 3.9 1.9 4.2 2.2 32.0 1301.0
 4.0 5.0 1.0 3.0 1.0 4.1 0.1 4.4 0.4 2709.0 1088.0
 5.0 3.0 2.0 4.0 1.0 3.9 1.1 4.3 0.7 3269.0 2715.0
 3.0 1.0 2.0 1.0 2.0 2.2 0.8 2.4 0.6 4731.0 1335.0
 3.0 3.0 0.0 4.0 1.0 4.0 1.0 4.4 1.4 2152.0 1040.0
 4.0 4.0 0.0 4.0 0.0 3.8 0.2 4.2 0.2 3818.0 479.0
 2.0 2.0 0.0 2.0 0.0 3.6 1.6 3.9 1.9 5492.0 523.0
 4.0 1.0 3.0 5.0 1.0 3.3 0.7 3.5 0.5 2017.0 1546.0
 5.0 2.0 3.0 3.0 2.0 3.4 1.6 3.4 1.6 3651.0 707.0
